id;latitude;longitude;scientific_name;common_name;taxon_id;year
104462734;10.83837833;-85.61830833;Odocoileus virginianus;Venado de cola blanca;42223;2022
106716815;10.9496361;-85.6484645;Odocoileus virginianus;Venado de cola blanca;42223;2022
107999526;10.83878639;-85.618145;Odocoileus virginianus;Venado de cola blanca;42223;2022
108116883;10.83821615;-85.70511181;Odocoileus virginianus;Venado de cola blanca;42223;
108148311;10.8833767;-85.5954538;Odocoileus virginianus;Venado de cola blanca;42223;2022
108202574;10.8594532;-85.68224413;Odocoileus virginianus;Venado de cola blanca;42223;2019
108334137;10.83916977;-85.61803389;Odocoileus virginianus;Venado de cola blanca;42223;2022
108340843;10.83924897;-85.61783231;Odocoileus virginianus;Venado de cola blanca;42223;2022
108340851;10.83753149;-85.61817245;Odocoileus virginianus;Venado de cola blanca;42223;2022
109514847;10.8919815;-85.5992867;Odocoileus virginianus;Venado de cola blanca;42223;2022
115807758;10.80650972;-85.6897865;Odocoileus virginianus nemoralis;;522700;2016
116297536;10.83593804;-85.61665621;Odocoileus virginianus;Venado de cola blanca;42223;2012
119898045;10.8360568;-85.6126428;Odocoileus virginianus;Venado de cola blanca;42223;2022
121598074;10.86528188;-85.70718727;Odocoileus virginianus;Venado de cola blanca;42223;2013
121598127;10.86528188;-85.70718727;Odocoileus virginianus;Venado de cola blanca;42223;2013
123096371;10.85442484;-85.71472465;Odocoileus virginianus;Venado de cola blanca;42223;2022
123194109;10.775387;-85.662366;Odocoileus virginianus;Venado de cola blanca;42223;1992
126915623;10.83930503;-85.615612;Odocoileus virginianus;Venado de cola blanca;42223;2022
128185964;10.83455887;-85.70403857;Odocoileus virginianus;Venado de cola blanca;42223;2022
132393668;10.84565342;-85.67232694;Odocoileus virginianus;Venado de cola blanca;42223;2017
132655089;10.83371113;-85.61216005;Odocoileus virginianus;Venado de cola blanca;42223;2022
133834726;10.77555942;-85.34914302;Odocoileus virginianus;Venado de cola blanca;42223;2022
137828105;10.83791649;-85.70511181;Odocoileus virginianus;Venado de cola blanca;42223;2022
137886952;10.84137821;-85.61216736;Odocoileus virginianus;Venado de cola blanca;42223;2022
138876233;10.91695976;-85.60477448;Odocoileus virginianus;Venado de cola blanca;42223;2022
138920704;10.83877509;-85.61456963;Odocoileus virginianus;Venado de cola blanca;42223;2022
139139337;10.83664713;-85.61697726;Odocoileus virginianus;Venado de cola blanca;42223;2022
139895030;10.77308483;-85.35017539;Odocoileus virginianus;Venado de cola blanca;42223;2022
142031215;10.77649199;-85.65295829;Odocoileus virginianus;Venado de cola blanca;42223;2014
143065407;10.84801621;-85.78424677;Odocoileus virginianus;Venado de cola blanca;42223;1989
143917080;10.8450888;-85.61308824;Odocoileus virginianus;Venado de cola blanca;42223;2022
144892849;10.77458001;-85.34615289;Odocoileus virginianus;Venado de cola blanca;42223;2022
145125672;10.80853563;-85.69735038;Odocoileus virginianus;Venado de cola blanca;42223;2022
145278124;10.83746167;-85.61841333;Odocoileus virginianus;Venado de cola blanca;42223;2022
145831166;10.92224962;-85.46347705;Odocoileus virginianus;Venado de cola blanca;42223;2022
